date,symbol,name,recommendation
05/20/20,NTUS,Natus Medical,SELL
05/20/20,MINI,Mobile Mini,SELL
05/20/20,VYX,NCR,SELL
05/20/20,MNDT,Mandiant,SELL
05/07/20,NOW,ServiceNow,BUY
05/05/20,NUE,Nucor,SELL
04/16/20,ZM,Zoom Communicati…,BUY
04/02/20,SHOP,Shopify,BUY
03/19/20,ZM,Zoom Communicati…,BUY
02/28/20,ZAYO,Zayo Group,SELL
02/20/20,DXCM,DexCom,BUY
02/11/20,DPLO,Diplomat Pharmacy,SELL
02/07/20,BHC,Bausch Health Com…,SELL
02/06/20,DNOW,NOW,SELL
02/06/20,PII,Polaris,SELL
02/06/20,NVTA,Invitae,BUY
01/28/20,Lions,Gate Entertai…,HOLD
01/28/20,Lions,Gate Entertai…,HOLD
01/16/20,A,NICE Nice,BUY
01/02/20,TSLA,Tesla,BUY
12/19/19,ACN,Accenture Plc,BUY
12/06/19,LQDT,Liquidity Services,SELL
12/05/19,HUBS,HubSpot,BUY
11/21/19,NFLX,Netflix,BUY
11/07/19,TTD,The Trade Desk,BUY
10/17/19,NBIX,Neurocrine Bioscien…,BUY
10/03/19,ZM,Zoom Communicati…,BUY
09/19/19,SEDG,SolarEdge Technolo…,BUY
09/05/19,WORK,Slack Technologies,BUY
08/15/19,JKHY,Jack Henry & Assoc…,BUY
08/01/19,CWBHF,Charlotte's Web,BUY
07/18/19,ZNGA,Zynga,BUY
07/03/19,ZM,Zoom Communicati…,BUY
07/03/19,GWR,Genesee & Wyoming,SELL
06/26/19,NUAN,Nuance Communic…,SELL
06/20/19,WM,Waste Management,BUY
06/06/19,HQY,HealthEquity,BUY
05/16/19,SNPS,Synopsys,BUY
05/02/19,WIX,Wix.com,BUY
04/18/19,ZNGA,Zynga,BUY
04/04/19,OLLI,Ollie's Bargain Outlet,BUY
03/21/19,HRC,Hill-Rom,BUY
03/07/19,TWLO,Twilio,BUY
02/21/19,NTDOY,Nintendo,BUY
02/07/19,APPN,Appian,BUY
01/10/19,F,Ford Motor Company,SELL
01/03/19,TWLO,Twilio,BUY
12/21/18,ERJ,Embraer,SELL
